PartNu,PC,,GC,,S
01-00-,60,Long Reach Standard,ACCU,ACCULOAD COMPONENTS,Make
01-01-,61,Long Reach Prem,ACCU-D,ACCULOAD DIESEL POWER UNIT - COMPONENTS,Buy
01-02-,62,Demo Ground,ACCU-E,ACCULOAD ELECTRICAL POWER UNIT - COMPONENTS,Stock
01-03-,63,Demo High Reach,ADAPT,ADAPTORS,Phantom
01-04-,64,Material Handling Scrap,ASS'Y,ASSEMBLY,
01-05-,65,Material Handling Bulk,BELLY,FG-BELLY PANS & BELLY PAN COMPONENTS,
01-06-,66,Material Handling Accuload,BOOM,FG-BOOMS,
01-07-,67,Attachments-Scrap,BOSS,BOSS,
01-08-,68,Attachments-Log Grapples,BRKT,BRACKETS,
01-09-,69,Attachments-Guards & Screens,CABGRD,CAB GUARDS,
01-10-,70,Attachments-Counterwts,CABPAR,CAB PARTS,
01-11-,71,Attachments-Buckets,CABPLT,CAB PLATE PARTS,
01-13-,72,Forestry Machines,CABTLT,FG-CAB TILT,
01-14-,73,Parts,CAST,CASTINGS,
01-15-,74,Freight Billed,CATWLK,FG-CATWALKS,
01-17-,75,Install,CLAM,FG-CLAMSHELL RAKES & BUCKETS,
01-25-,76,Carriers (Base Machine),CLAMP,CLAMPS,
01-27-,77,Carriers (Base Machine),CMEL,ELECTRICAL,
01-30-,80,Sales Adjustments,CMSS,SHIMS,
01-35-,99,Warranty Work,CON-BT,"CONSIGNMENT STOCK - NUTS, BOLTS & WASHERS",
01-50-,D,Instruction Etc.,CON-FT,CONSIGNMENT STOCK - FITTINGS,
01-60-,DF,Diesel Fuel,CON-SL,CONSIGNMENT STOCK - SEALS & SEAL KITS,
01-65-,FG,Turnkey,CRRIER,BASE CARRIER,
01-70-,FP,Fabricated/Machined Components,CWT,FG-COUNTERWEIGHTS & CWT PARTS,
01-76-,I,Field Installation,CYLPAR,CYLINDER PARTS - COMPONENTS,
01-80-,M,Miscellaneous,DENIS,FG-DENIS HEADS & PARTS,
01-90-,P,Purchased Complete Component,ENGINE,ENGINEERING (NEW ITEMS FOR ACCOUNTING TO ASSIGN TO OTHER GROUP),
01-95-,RM,Purchased Raw Material,FILTER,FILTERS,
02-00-,T,"Jigs, Fixtures, Etc…",GENSET,GENSET COMPONENTS,
02-01-,,,GRAPPA,GRAPPLE PARTS,
02-02-,,,GUARD,FG-GUARDING EXCLUDING CAB GUARDING,
02-03-,,,HAND,FG-HANDRAILS,
02-05-,,,HYCAR,HYDRAULIC CARTRIDGES,
02-06-,,,HYCR,CYLINDER,
02-07-,,,HYFG,FITTINGS/ HOSES,
02-09-,,,HYHE,RAW-HYDRAULIC TUBE (HT PART #'S ONLY),
02-50-,,,HYKIT,HYDRAULIC KITS,
03-00-,,,HYMR,MOTORS,
03-01-,,,HYSE,SEALS,
03-02-,,,HYSM,HYDRAULIC MANIFOLD,
03-03-,,,HYVE,VALVE ASSEMBLY,
03-05-,,,INSTAL,INSTALLATION,
03-06-,,,JRB,JRB BUCKETS AND COMPONENTS,
04-00-,,,LINK,FG-LINKS,
04-01-,,,LOGGRP,FG-LOG GRAPPLE,
04-05-,,,MISC,MICELLANEOUS,
05-00-,,,MPBH,BUSHINGS,
05-01-,,,MPBR,BEARINGS,
05-02-,,,MPFN,"BOLT, NUT, ETC...",
05-03-,,,MPPT,PAINT,
05-04-,,,PINHD,PIN HEADS & PIN RETAINERS,
05-05-,,,PINS,PINS,
05-07-,,,PLATE,RAW-PLATE PARTS. XX-05-XXXX SERIES NUMBERS,
05-12-,,,PLUMB,FG-PLUMBING,
05-25-,,,PUMP,PUMPS,
05-30-,,,R CAB,FG-REAR ENTRY CAB,
05-35-,,,RISER,FG-CAB RISERS,
05-40-,,,RMAE,RAW-ANGLE IRON - L SERIES NUMBERS,
05-55-,,,RMBR,RAW-FLAT BAR - FB #'S AND XX-30-XXXX #'S,
05-70-,,,RMPL,RAW-STEEL PLATE. SHEETS FOR BURN TABLE ONLY,
06-00-,,,RMSR,RAW-SOLID ROUND - SR #'S ONLY,
06-01-,,,RMTE,RAW-TUBE MATERIAL - TS & RT #'S ONLY,
06-02-,,,ROCK,FG-ROCKGUARDS & ROCKGUARD COMPONENTS,
06-03-,,,ROLL,ROLLERS,
06-04-,,,ROTARY,ROTARY UNIONS,
06-05-,,,S CAB,FG-SIDE ENTRY CAB,
06-07-,,,SCREEN,FG-SCREENS,
06-08-,,,SCRPGP,FG-SCRAP GRAPPLE,
06-09-,,,SERVJC,SERVICE - ALL TYPES,
06-11-,,,SHOP,SHOP EXPENDABLES,
06-12-,,,SLACK,FG-SLACK KICKERS,
06-14-,,,TUBES,"RAW-FINISHED TUBES (01-04, 01-60, 02-03, 03-03, 01-90, 05-40)",
06-16-,,,UNDER,FG-UNDERHOUSE,
06-30-,,,VM-FT,"VENDOR MANAGED FITTINGS, ADAPTORS & HOSE",
06-40-,,,WCHASY,FG-WINCH ASSEMBLIES,
06-55-,,,WELD,WELDMENTS (02-01-XXXX & 03-01-XXXX),
07-00-,,,WINCH,WINCHES,
07-01-,,,WINDOW,WINDOWS & WIPER PARTS,
07-02-,,,WIPART,WINCH PARTS,
07-03-,,,,,
07-04-,,,,,
07-05-,,,,,
07-06-,,,,,
07-07-,,,,,
07-08-,,,,,
07-10-,,,,,
07-13-,,,,,
07-16-,,,,,
07-17-,,,,,
07-25-,,,,,
07-50-,,,,,
07-53-,,,,,
07-70-,,,,,
08-00-,,,,,
08-01-,,,,,
08-03-,,,,,
08-04-,,,,,
08-05-,,,,,
08-08-,,,,,
08-10-,,,,,
09-00-,,,,,
09-01-,,,,,
09-02-,,,,,
09-03-,,,,,
09-04-,,,,,
09-05-,,,,,
09-08-,,,,,
09-09-,,,,,
09-11-,,,,,
09-12-,,,,,
09-13-,,,,,
09-14-,,,,,
09-15-,,,,,
09-16-,,,,,
09-17-,,,,,
09-20-,,,,,
09-21-,,,,,
09-22-,,,,,
09-23-,,,,,
09-24-,,,,,
09-25-,,,,,
09-26-,,,,,
09-29-,,,,,
09-31-,,,,,
09-32-,,,,,
09-33-,,,,,
09-40-,,,,,
09-44-,,,,,
09-46-,,,,,
09-49-,,,,,
09-51-,,,,,
09-53-,,,,,
09-54-,,,,,
09-70-,,,,,
09-80-,,,,,
10-00-,,,,,
10-01-,,,,,
10-05-,,,,,
10-20-,,,,,
10-25-,,,,,
10-30-,,,,,
10-35-,,,,,
10-40-,,,,,
11-00-,,,,,
11-01-,,,,,
11-02-,,,,,
11-03-,,,,,
11-04-,,,,,
11-05-,,,,,
11-06-,,,,,
11-08-,,,,,
11-09-,,,,,
11-12-,,,,,
11-19-,,,,,
11-25-,,,,,
11-40-,,,,,
12-00-,,,,,
12-01-,,,,,
12-05-,,,,,
12-06-,,,,,
12-08-,,,,,
12-09-,,,,,
13-00-,,,,,
13-01-,,,,,
13-02-,,,,,
13-03-,,,,,
13-05-,,,,,
13-08-,,,,,
13-09-,,,,,
13-45-,,,,,
13-50-,,,,,
15-01-,,,,,
15-05-,,,,,
15-08-,,,,,
17-00-,,,,,
17-01-,,,,,
17-05-,,,,,
30-00-,,,,,
30-01-,,,,,
30-02-,,,,,
30-05-,,,,,
30-08-,,,,,
30-09-,,,,,
30-25-,,,,,
30-30-,,,,,
30-35-,,,,,
30-40-,,,,,
30-75-,,,,,
35-00-,,,,,
40-00-,,,,,
